product_id,category,sub_category,product_name
FUR-BO-10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase"
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table"
FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables"
OFF-AP-10002892,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge"
OFF-AR-10002833,"Office Supplies",Art,"Newell 322"
OFF-BI-10003656,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine"
OFF-BI-10003910,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill"
OFF-LA-10000240,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal"
OFF-PA-10002365,"Office Supplies",Paper,"Xerox 1967"
OFF-ST-10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System"
TEC-PH-10002033,Technology,Phones,"Konftel 250 ConferenceÂ phoneÂ - Charcoal black"
TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone"
